Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
41 U.S.C § 4702(b),"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",2,BPA,4
41 U.S.C § 4702(b),"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",1,ID,4
41 U.S.C § 4702(b),"National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).",1,SRO,4
26 U.S.C. § 6103,Internal Revenue Code - Agency withheld taxpayer identification numbersInternal Revenue Code - Agency withheld taxpayer identification numbers,"Tax Analysts v. Internal Revenue Serv., DC Cir. 2005",2,EMCBC,6
26 U.S.C. § 6103,Internal Revenue Code - Agency withheld taxpayer identification numbersInternal Revenue Code - Agency withheld taxpayer identification numbers,"Tax Analysts v. Internal Revenue Serv., DC Cir. 2005",4,GFO,6
15 U.S.C. § 638(k)(4),Company commercialization information,,1,GFO,1
35 U.S.C. § 181,Patent Information,,2,GFO,2
42 U.S.C. § 2162,"Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency Withheld information that is classified as Restricted Data, Fomerly Restricted Data, or Unclassified Controlled Nuclear Information.","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F/ 2d 942 (D.C. Cir. 1986",12,HQ,25
42 U.S.C. § 2162,"Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency Withheld information that is classified as Restricted Data, Fomerly Restricted Data, or Unclassified Controlled Nuclear Information.","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F/ 2d 942 (D.C. Cir. 1986",1,ID,25
42 U.S.C. § 2162,"Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.Atomic Energy Act of 1954 - Agency Withheld information that is classified as Restricted Data, Fomerly Restricted Data, or Unclassified Controlled Nuclear Information.","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F/ 2d 942 (D.C. Cir. 1986",2,SRO,25
