Component,Description,No. of Times Used,Total
OIG,0,0,0
OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1
OIG,Records Publicly Available,1,9
OIG,Unable to locate requester,6,9
OIG,Administratively Closed,2,9
OIG,Not applicable,0,0
SOL,Not applicable,0,0
ADJ BDS,N/A,0,0
ALJ,No Response from requestor for more information,1,1
ASP,N/A,0,0
OPA,N/A,0,0
CFO,No Records in Partial Grant,1,1
EBSA,OVERLY BURDENSOME,2,2
ESA,Request for Supplemental Information,1,16
ESA,Requests - Information Available on the web,5,16
ESA,Request reassigned,3,16
ESA,FOIAs already closed,7,16
ETA,Administrative Closures due to duplicate responding office entries,224,224
ILAB,Request reassignment to agency,3,3
BLS,N/A,0,0
MSHA,N/A,0,0
OSHA,N/A,0,0
OASAM,N/A,0,0
OCIA,N/A,0,0
ODEP,N/A,0,0
OIG,N/A,0,0
OSBP,N/A,0,0
SOL,N/A,0,0
VETS,N/A,0,0
WB,N/A,0,0
JOB CORP,N/A,0,0
OIG,Records  on OIG Webpage,1,1
OIG,N/A,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
Total,0,258,324
