Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIA,394,206,15,140,20,21,24,30,13,20,16,24,923
BLM,500,277,18,120,7,32,26,5,6,3,1,1,996
BOR,118,26,5,16,8,10,2,0,0,1,1,0,187
FWS,548,89,20,70,23,7,0,0,0,2,0,31,790
MMS,103,38,4,12,3,5,6,1,2,4,0,5,183
NPS,485,213,24,61,22,13,10,8,0,10,3,1,850
OIG,5,22,12,5,2,23,0,1,0,1,2,0,73
OS,119,79,2,53,36,20,12,108,23,15,2,7,476
OSM,29,10,0,11,1,3,2,0,0,0,0,0,56
SOL,15,22,7,9,1,3,4,5,0,0,0,0,66
USGS,67,30,4,23,3,8,5,1,0,5,4,0,150
Total,2383,1012,111,520,126,145,91,159,44,61,29,69,4750
