Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
A&MM (049),71,3,4,1,0,16,0,0,0,0,1,4,100
Admin (03),0,0,0,0,0,0,0,0,0,0,0,0,0
BVA (01),6,6,0,0,3,1,0,0,0,4,0,0,20
OC&LA (009),0,0,0,0,0,0,0,0,0,0,0,0,0
OCFM (00CFM),7,6,0,4,10,2,10,0,4,0,0,0,43
ODM&EEO (06),0,0,0,0,0,0,0,0,0,0,0,0,0
GC (02),11,13,5,2,15,1,1,0,3,0,2,0,53
OHRM (05),5,0,0,0,0,0,0,0,0,0,0,0,5
IG (50),42,90,23,24,13,4,0,0,3,11,0,0,210
NCA (40),16,32,1,14,7,0,0,0,0,0,0,0,70
OASHRA (006),0,0,0,0,0,0,0,0,0,0,0,0,0
OASP&IA (002),0,0,0,0,0,0,0,0,0,0,0,0,0
ODASB (041),0,0,0,0,0,0,0,0,0,0,0,0,0
ODASIA (075),0,0,0,0,0,0,0,0,0,0,0,0,0
OF (047),6,1,0,1,5,0,0,1,1,0,0,0,15
OI&T (005),28,6,1,1,0,1,5,31,0,43,2,15,133
MGMT (004),0,0,0,1,0,0,0,0,0,0,0,0,1
ORM (08),1,0,2,0,0,0,0,0,0,0,0,0,3
OSDBU (00SB),0,0,0,0,0,0,0,0,0,0,0,0,0
P&P (008),0,0,0,0,0,0,0,0,0,1,0,0,1
PA (80),0,0,0,0,0,0,0,0,0,0,0,0,0
S&LE (07),0,3,0,5,0,0,0,0,0,0,0,0,8
SEC (00),7,2,0,0,0,0,0,0,0,0,0,0,9
VBA (20),17538,830,119,1084,2756,66,38,248,140,99,118,177,23213
VCS (785),0,0,0,0,0,0,0,0,0,0,0,0,0
VHA (10),33863,2340,9202,11142,4544,1324,659,1221,4277,1052,4349,598,74571
Total,51601,3332,9357,12279,7353,1415,713,1501,4428,1210,4472,794,98455
