Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
CBP,1997,8824,76,3896,1211,114,60,76,2100,154,99,32,18639
CRCL,3,5,0,12,2,2,0,0,0,0,0,0,24
FEMA,146,225,14,109,56,87,13,23,66,5,27,23,794
FLETC,29,45,4,22,15,14,1,3,6,0,2,28,169
I&A,7,11,2,17,2,1,0,5,1,2,0,0,48
ICE,431,5288,167,298,2111,41,17,20,95,3,69,30,8570
MGMT,42,81,8,22,64,4,14,7,4,1,0,6,253
NPPD,16,58,5,11,18,5,4,2,8,0,0,0,127
OGC,2,11,1,9,4,3,0,0,0,0,1,4,35
OIG,11,98,12,30,9,1,2,0,19,1,3,6,192
OPS,10,17,0,14,4,0,0,1,1,0,0,0,47
PLCY,36,5,0,5,3,2,1,0,1,2,0,0,55
PRIV,26,107,47,41,657,14,18,100,62,26,34,31,1163
S&T,4,9,2,7,16,1,0,1,0,0,0,0,40
TSA,78,161,56,80,11,85,20,14,9,21,19,3,557
US-VISIT,6,1623,2,12,0,13,0,0,0,1,0,0,1657
USCG,1909,704,307,564,127,99,17,8,140,14,49,20,3958
USCIS,11943,61119,202,5756,2023,168,154,1,14808,3486,1092,120,100872
USSS,25,235,62,352,0,59,7,1,88,616,4,2,1451
Total,16721,78626,967,11257,6333,713,328,262,17408,4332,1399,305,138651
