Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BPA,56,21,3,12,3,4,1,0,0,0,1,0,101
CBFO,6,4,1,3,1,0,0,0,0,0,1,0,16
CH,30,2,0,12,1,3,7,1,0,7,0,0,63
EMCBC,10,6,0,8,1,1,3,0,4,0,0,0,33
GFO,99,58,2,17,8,10,0,1,1,9,1,0,206
HQ,181,190,9,97,275,74,3,3,2,8,9,0,851
ID,23,6,1,3,1,0,0,0,0,2,0,0,36
NETL,14,64,1,5,1,3,0,1,0,1,0,0,90
NNSA,134,59,4,66,13,14,1,0,2,5,2,0,300
NR,0,0,0,0,0,0,0,0,0,0,0,0,0
NRLFO,6,2,0,1,0,0,0,0,0,0,0,0,9
ORO,170,14,0,34,5,3,3,7,6,5,2,0,249
OSTI,1,0,0,0,0,1,0,0,0,0,0,0,2
ROO,58,28,1,4,2,8,2,1,0,1,1,0,106
SEPA,0,0,0,0,0,0,0,0,0,0,0,0,0
SPR,1,1,0,0,0,0,0,0,0,1,0,0,3
SRO,22,14,2,8,4,0,0,0,0,4,0,0,54
SWPA,3,2,0,1,0,0,0,0,0,0,0,0,6
WAPA,12,4,1,1,0,4,1,0,1,0,0,0,24
Total,826,475,25,272,315,125,21,14,16,43,17,0,2149
