Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ADJ BDS,10,1,0,3,2,5,0,0,0,0,0,0,21
ALJ,97,11,0,18,3,3,1,0,1,2,4,4,144
ASP,1,1,0,9,0,4,0,0,0,6,1,21,43
BLS,4,3,6,7,0,0,0,0,0,0,0,0,20
CFO,2,3,0,8,0,1,0,0,0,3,0,0,17
EBSA,1833,112,32,161,20,34,4,33,7,3,35,58,2332
ETA,506,161,16,327,11,9,112,5,24,21,42,111,1345
ILAB,3,2,0,7,0,0,0,0,0,0,0,0,12
MSHA,842,798,86,79,0,42,34,3,2,3,31,0,1920
OASAM,42,93,4,30,0,51,42,0,23,37,12,0,334
OCIA,0,0,0,0,0,0,0,0,0,1,0,0,1
ODEP,2,0,0,0,0,0,0,0,0,0,0,0,2
OFCCP,70,98,14,73,5,9,11,0,3,2,0,0,285
OIG,8,29,8,16,16,1,0,2,2,0,0,2,84
OLMS,11,32,17,19,0,0,1,1,15,0,0,0,96
OPA,0,0,0,4,0,0,0,0,0,0,0,0,4
OSHA,664,4020,1176,1842,167,221,77,104,17,108,216,1,8613
OWCP,153,17,15,29,1,7,2,3,5,6,12,34,284
SOL,7,6,0,8,0,2,1,1,0,4,0,1,30
VETS,20,77,3,1,0,0,3,0,0,3,2,3,112
WB,2,1,0,7,0,0,0,0,1,0,0,0,11
WHD,81,989,135,472,7,39,1,1,14,11,142,23,1915
Total,4358,6454,1512,3120,232,428,289,153,114,210,497,258,17625
