Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSA,161,62,2,51,6,17,2,8,1,3,12,0,325
IES,11,26,1,5,1,0,0,1,0,1,1,0,47
IES-NAGB,3,0,0,0,0,0,0,0,0,0,0,0,3
OCFO,4,6,0,0,0,0,0,0,0,0,0,0,10
OCFO-CAM,25,15,1,4,0,1,0,0,0,0,0,0,46
OCIO,3,2,0,0,0,3,0,0,0,1,0,0,9
OCO,2,0,0,1,0,3,0,0,0,0,0,0,6
OCR,21,59,2,12,1,5,0,1,0,1,4,0,106
OCR-1 Boston,8,105,10,4,0,4,0,0,0,0,4,0,135
OCR-2 New York,79,36,8,4,0,6,0,0,0,0,3,0,136
OCR-3 Philadelphia,7,53,3,2,0,2,0,0,0,1,3,0,71
OCR-4 Atlanta,34,25,4,0,0,4,0,0,1,0,1,0,69
OCR-5 Chicago,69,40,5,5,0,7,0,0,1,0,5,0,132
OCR-6 Dallas,22,52,0,4,0,5,0,5,1,0,0,0,89
OCR-7 Kansas City,10,21,0,3,0,5,0,0,0,0,2,0,41
OCR-8 Denver,11,38,0,3,0,3,0,1,1,0,1,0,58
OCR-9 San Francisco,23,39,0,0,0,0,0,0,0,0,0,0,62
OCR-10 Seattle,22,84,0,6,0,3,0,0,0,0,1,0,116
OCR-12 Cleveland,12,24,0,1,0,7,0,0,0,0,1,0,45
OCR-Metro D.C.,11,47,0,3,3,0,3,4,7,0,3,0,81
OELA,1,5,0,2,1,0,1,0,0,0,1,0,11
OESE,7,49,0,18,1,1,0,1,0,1,2,0,80
OGC,1,4,0,1,0,1,0,0,1,1,1,0,10
OIG,7,12,14,13,0,1,0,1,0,0,1,0,49
OII,21,27,0,3,0,2,0,0,0,1,0,0,54
OLCA,1,0,0,0,0,0,0,0,0,0,0,0,1
OM,14,9,2,5,0,1,0,0,0,2,2,0,35
OM-PIRMS,86,147,3,25,0,5,0,3,0,4,3,0,276
OPE,31,65,3,24,6,10,2,10,9,7,1,0,168
OPEPD,6,5,0,3,0,2,0,1,0,0,2,0,19
OS,2,4,0,2,0,1,0,0,0,0,0,0,9
OSDFS,27,96,0,0,0,3,0,1,0,0,0,0,127
OSERS,10,16,0,4,0,8,2,0,0,1,2,0,43
OUS,1,2,0,1,0,1,0,0,0,0,0,0,5
OVAE,5,4,0,1,0,1,0,0,0,0,1,0,12
Total,758,1179,58,210,19,112,10,37,22,24,57,0,2486
