Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
HQ,1151,242,66,167,62,225,21,10,11,2,43,2,2002
Region 1,151,14,0,67,11,17,3,0,0,0,0,0,263
Region 2,357,16,5,732,24,55,0,1,1,1,7,1,1200
Region 3,693,23,6,331,16,51,2,0,0,0,7,0,1129
Region 4,449,82,0,199,15,72,0,1,3,0,3,0,824
Region 5,592,90,3,634,0,46,12,7,0,0,8,0,1392
Region 6,219,41,2,232,51,53,1,0,1,1,8,0,609
Region 7,392,32,8,109,10,21,1,0,1,0,4,0,578
Region 8,213,12,1,61,1,41,0,0,3,0,7,0,339
Region 9,261,20,2,182,19,17,6,8,2,0,8,1,526
Region 10,241,37,3,82,0,25,1,6,1,0,1,0,397
Total,4719,609,96,2796,209,623,47,33,23,4,96,4,9259
