Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ATLANTA,0,1207,48,9,3,9,0,0,12,2,46,97,1433
BIRMINGHAM,13,988,196,13,1,10,0,6,4,4,32,43,1310
CHARLOTTE,13,1134,59,4,20,10,0,1,1,1,16,32,1291
CHICAGO,50,698,139,7,3,2,4,0,20,2,9,46,980
DALLAS,26,1410,156,3,0,13,0,0,4,0,17,29,1658
HOUSTON,9,778,68,9,1,4,7,0,20,0,25,23,944
INDIANAPOLIS,24,1741,123,67,37,11,0,6,43,1,63,50,2166
LOS ANGELES,18,425,340,191,1,0,2,0,0,0,1,33,1011
MEMPHIS,19,549,42,3,0,7,12,1,13,0,9,23,678
MIAMI,127,1210,361,37,9,9,0,0,116,2,26,155,2052
NEW YORK,32,385,135,60,0,2,0,1,37,0,34,232,918
OLC/HDQ,100,36,147,53,22,8,7,7,48,2,36,0,466
PHILADELPHIA,6,965,131,1,59,27,0,7,0,0,80,194,1470
PHOENIX,21,355,92,5,19,1,0,3,32,1,39,7,575
SAN FRANCISCO,32,449,112,86,0,0,0,0,20,0,11,15,725
ST. LOUIS,165,929,67,4,0,0,0,0,15,0,2,6,1188
WFO,1,115,25,4,14,5,0,0,6,0,18,2,190
Total,656,13374,2241,556,189,118,32,32,391,15,464,987,19055
