Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,13,0,0,0,0,0,0,0,0,0,0,0,13
Authority,26,5,0,32,0,4,0,6,1,0,1,0,75
IG,0,0,0,2,0,0,0,0,0,0,0,0,2
OGC,1,0,0,0,0,0,0,0,0,0,0,0,1
ATRO,0,1,0,0,0,0,0,0,1,0,0,0,2
BORO,2,2,0,1,0,0,0,0,0,0,0,0,5
CHRO,0,0,0,0,0,0,0,0,0,0,0,0,0
DARO,0,0,0,0,0,0,0,0,0,0,0,0,0
DERO,0,1,0,0,0,0,0,0,0,0,0,0,1
SFRO,1,4,0,0,0,0,0,0,0,0,0,0,5
WARO,2,0,0,0,0,0,0,0,0,0,0,0,2
Total,45,13,0,35,0,4,0,6,2,0,1,0,106
