Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BEP,27,20,4,9,1,3,4,1,12,1,1,0,83
DO,90,164,15,94,94,82,27,120,190,62,8,0,946
FinCEN,8,43,178,31,1,1,0,0,5,9,1,0,277
IRS,3651,2975,122,646,0,169,104,417,1544,21,439,21,10109
MINT,60,12,2,26,3,6,1,2,16,0,2,1,131
OCC,1354,66,25,70,7,52,6,18,100,88,15,0,1801
TIGTA,29,116,22,15,28,6,5,1,57,3,5,0,287
TTB,9,14,6,7,0,2,4,2,0,3,0,3,50
Fiscal Service,49,92,6,53,9,48,1,1,13,29,4,1,306
Total,5277,3502,380,951,143,369,152,562,1937,216,475,26,13990
