Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
AMS,47,82,3,21,1,4,0,0,0,0,4,1,163
APHIS,127,404,23,123,14,51,2,3,2,15,22,12,798
ASCR,1,10,1,4,1,0,0,0,0,0,1,0,18
FAS,21,5,0,5,0,2,2,2,0,11,1,0,49
FNCS,67,151,5,34,6,12,4,0,2,12,1,15,309
FS,825,601,62,171,54,71,16,3,11,2,25,48,1889
FSA,13519,230,105,111,177,51,53,30,25,8,23,11,14343
FSIS,45,202,6,52,8,19,9,0,6,2,5,11,365
GIPSA,5,14,5,10,0,0,0,0,1,1,0,1,37
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0
NRCS,152,79,35,33,9,35,4,0,2,2,9,28,388
OBPA,5,0,0,1,2,0,0,0,0,0,0,0,8
OCFO,3,10,0,2,1,0,0,0,0,0,0,0,16
OGC,2,10,1,4,2,4,0,0,0,0,0,4,27
OIG,13,26,19,33,0,23,1,0,0,0,0,0,115
OSEC/OCIO/DM,63,90,7,38,5,12,2,3,2,6,9,14,251
RD,92,60,7,27,32,27,2,8,4,2,11,29,301
REE,42,37,1,9,2,6,0,0,3,9,0,6,115
RMA,13,23,4,3,0,0,1,0,1,4,0,2,51
Total,15042,2034,284,681,314,317,96,49,59,74,111,182,19243
