Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
AF,638,55,197,492,45,105,1,55,55,
AFRICOM,3,11,16,0,0,0,0,0,0,
ARMY,1481,,61,2763,,151,36,,25,
ASBCA,0,0,0,0,0,0,0,0,0,
CENTCOM,74,172,224,142,420,473,1,145,145,
DCAA,5,22,63,5,81,76,0,0,0,
DCMA,3,14,91,15,66,122,0,0,0,
DeCA,8,12,17,0,0,0,0,0,0,
DFAS,13,9,23,7,27,26,1,16,16,
DIA,44,10,9,2585,748,838,0,0,0,
DISA,225,407,567,25,55,188,0,0,0,
DLA,20,9,19,47,35,23,0,0,0,
DoDEA,3,1,10,3,71,104,0,0,0,
DoDIG,0,0,0,32,43,117,0,0,0,
DSS,0,0,0,1,20,20,0,0,0,
DTIC,16,72,63,0,0,0,0,0,0,
DTRA,0,0,0,22,16,38,0,0,0,
EUCOM,10,118,132,24,334,358,0,0,0,
JFCOM,0,0,0,62,370,396,0,0,0,
NAVY,500,360,51,974,143,119,0,0,0,
NGA,15,644,490,247,395,383,0,0,0,
NGB,3,29,29,0,0,0,0,0,0,
NORTHCOM,2,63,63,4,51,53,0,0,0,
NRO,38,21,18,45,63,127,0,0,0,
NSA,218,155,308,129,577,989,2,67,153,
OSD/JS,60,139,194,1746,630,831,1,825,825,
PACOM,0,0,0,37,62,940,0,0,0,
SOCOM,11,401,579,167,456,618,2,1229,1229,
SOUTHCOM,0,0,0,81,73,117,0,0,0,
STRATCOM,0,0,0,7,26,353,0,0,0,
TRANSCOM,4,11,9,14,140,132,0,0,0,
TRICARE,3,10,10,8,40,51,0,0,0,
Total,3397,0,70,9684,0,536,44,0,107,
