Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
Admin,0,0,0,0,0,0,0,0,0,
BVA,0,0,0,0,,,0,,,
C&LA,0,0,0,0,,,0,,,
CFM,0,0,0,5,26,26,0,,,
GC,0,0,0,3,,,0,,,
HRM,0,0,0,0,,,0,,,
IG,0,0,0,10,5,5,0,,,
Mgmt,0,0,0,0,,,0,,,
NCA,0,0,0,10,,,0,,,
OAL,0,0,0,16,61.5,66,0,,,
OASP&IA,0,0,0,0,0,0,0,0,0,
ODASB,0,0,0,0,,,0,,,
ODASIA,0,0,0,0,0,0,0,0,0,
ODI,0,0,0,0,0,0,0,0,0,
OF,0,0,0,4,35,32,0,,,
OI&T,0,0,0,10,9,9,0,,,
ORM,0,0,0,0,,,0,,,
OSDBU,0,0,0,0,0,0,0,0,0,
OSP,0,0,0,0,,,0,,,
P&P,0,0,0,0,,,0,,,
PA,0,0,0,0,0,0,0,0,0,
SEC,0,0,0,1,27,27,0,,,
VBA,0,0,0,374,46,44,2,26,26,
VCS,0,0,0,0,0,0,0,0,0,
VHA,0,0,0,346,16.5,22,3,1,1,
Total,0,0,0,779,17,29,3,1,1,
