Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FSA,10,209,234,29,25,43,0,0,0,
IES,0,0,0,7,18,23,0,0,0,
IES-NAGB,0,0,0,0,0,0,0,0,0,
OCFO,1,336,336,4,18,19,0,0,0,
OCFO-CAM,0,0,0,2,16,16,0,0,0,
OCFO-FSS,0,0,0,1,7,7,0,0,0,
OCIO,3,161,173,2,41,41,0,0,0,
OCO,4,219,235,0,0,0,0,0,0,
OCR,0,0,0,7,16,30,0,0,0,
OCR-1 Boston,37,94,106,3,110,176,0,0,0,
OCR-2 New York,14,34,43,3,22,113,0,0,0,
OCR-3 Philadelphia,6,37,107,0,0,0,0,0,0,
OCR-4 Atlanta,7,11,34,0,0,0,0,0,0,
OCR-5 Chicago,2,13,13,0,0,0,0,0,0,
OCR-6 Dallas,0,0,0,5,14,17,0,0,0,
OCR-7 Kansas City,10,181,203,1,308,308,0,0,0,
OCR-8 Denver,2,44,44,0,0,0,0,0,0,
OCR-9 San Francisco,0,0,0,0,0,0,0,0,0,
OCR-10 Seattle,0,0,0,0,0,0,0,0,0,
OCR-12 Cleveland,3,21,25,1,1,1,0,0,0,
OCR-Metro D.C.,5,78,109,1,9,9,0,0,0,
OELA,1,133,133,4,33,33,0,0,0,
OESE,2,315,315,2,33,33,0,0,0,
OGC,7,340,301,3,336,272,0,0,0,
OIG,2,128,128,0,0,0,0,0,0,
OII,3,156,233,8,31,74,0,0,0,
OLCA,0,0,0,1,8,8,0,0,0,
OM,0,0,0,3,15,30,0,0,0,
OM-RIMS,25,178,203,112,31,49,0,0,0,
OPE,2,229,229,16,25,29,0,0,0,
OPEPD,8,278,268,7,50,41,0,0,0,
OS,8,258,245,5,68,131,0,0,0,
OSDFS,16,148,146,35,78,70,0,0,0,
OSERS,5,222,218,7,25,43,0,0,0,
OUS,0,0,0,3,79,83,0,0,0,
OVAE,0,0,0,1,11,11,0,0,0,
Total,183,156,159,273,31,54,0,0,0,
