Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
ATLANTA,27,17,15.0741,0,0,0,0,0,0,
BIRMINGHAM,155,22,22.1613,0,0,0,0,0,0,
CHARLOTTE,100,19,20.87,0,0,0,0,0,0,
CHICAGO,34,19,17.9118,0,0,0,0,0,0,
DALLAS,132,16,25.8333,0,0,0,0,0,0,
HOUSTON,81,11,10.963,0,0,0,0,0,0,
INDIANAPOLIS,89,8,8.26966,0,0,0,0,0,0,
LOS ANGELES,34,15,14.6765,0,0,0,0,0,0,
MEMPHIS,97,19,24.1546,0,0,0,0,0,0,
MIAMI,100,19,18.6,0,0,0,0,0,0,
NEW YORK,146,89,96.0822,0,0,0,0,0,0,
OLC/HDQ,22,26.5,44.5,0,0,0,0,0,0,
PHILADELPHIA,90,30,31.3111,0,0,0,0,0,0,
PHOENIX,49,15,15.1837,0,0,0,0,0,0,
SAN FRANCISCO,34,18,17.6765,0,0,0,0,0,0,
ST. LOUIS,47,18,14.7872,0,0,0,0,0,0,
WFO,30,19,17.9667,0,0,0,0,0,0,
Total,1267,19,29,0,0,0,0,0,0,
