Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FSIP,0,0,0,0,0,0,0,0,0,
Authority,1,17,17,0,0,0,0,0,0,
IG,0,0,0,0,0,0,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,
ATRO,0,0,0,0,0,0,0,0,0,
BORO,0,0,0,0,0,0,0,0,0,
CHRO,0,0,0,0,0,0,0,0,0,
DARO,0,0,0,0,0,0,0,0,0,
DERO,0,0,0,0,0,0,0,0,0,
SFRO,0,0,0,0,0,0,0,0,0,
WARO,0,0,0,0,0,0,0,0,0,
Total,1,17,17,0,0,0,0,0,0,
