Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
BIS,5,7,8,8,71,74,0,0,0,
Census,16,3,5,5,5,6,2,4,4,
EDA,4,2,2,2,39,39,0,0,0,
ESA,0,0,0,0,0,0,0,0,0,
ITA,0,0,0,73,239,327,1,586,586,
MBDA,0,0,0,0,0,0,0,0,0,
NIST,3,5,5,31,311,388,0,0,0,
NOAA,34,8,9,138,95,177,0,0,0,
NTIA,1,30,30,9,129,151,2,170,170,
NTIS,1,148,148,0,0,0,0,0,0,
OIG,7,5,5,3,39,65,1,17,17,
OS,5,8,6,106,129,185,4,102,94,
PTO,19,8,8,5,19,24,0,0,0,
Total,95,6,9,380,129,216,10,52,132,
