Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
FHWA,15,5,6,2,23,23,0,,,
FMCSA,416,63,93,316,61,99,1,265,265,
FRA,0,,,296,99,132,0,,,
FTA,19,6,53,0,,,0,,,
MARAD,9,25,32,8,117.5,196,0,,,
NHTSA,55,74,82,32,268.5,280,0,,,
OIG,7,34,46,7,62,99,0,,,
OST,6,192,240,85,139,179,0,,,
PHMSA,71,89,143,37,336,357,2,535,535,
RITA,0,,,0,,,0,,,
SLSDC,0,,,0,,,0,,,
Total,1825,63,102,1326,96,152,26,509,445,
