Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AF,155,63,184,96,
ARMY,200,123,220,156,
ASBCA,0,0,0,0,
CENTCOM,0,0,0,0,
DCAA,2,0,2,0,
DCMA,2,0,2,0,
DeCA,0,0,0,0,
DFAS,2,2,2,2,
DIA,38,47,32,20,
DISA,2,2,2,2,
DLA,19,20,14,16,
DoDEA,0,0,0,0,
DoDIG,15,19,24,13,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,2,1,2,2,
EUCOM,0,0,0,0,
JFCOM,2,0,2,0,
NAVY,189,398,189,355,
NGA,2,1,0,3,
NORTHCOM,0,0,0,0,
NRO,4,3,4,2,
NSA,72,50,87,50,
OSD/JS,187,135,180,145,
PACOM,0,0,0,0,
SOCOM,0,0,0,0,
SOUTHCOM,0,0,0,0,
STRATCOM,0,0,0,0,
TRANSCOM,0,0,0,0,
TRICARE,0,0,0,0,
Total,893,864,946,862,
