Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BEP,8,4,8,4,
DO,16,26,16,9,
FinCEN,11,16,8,16,
IRS,184,236,188,240,
MINT,6,2,6,2,
OCC,28,10,22,18,
TIGTA,27,20,26,21,
TTB,0,0,0,0,
Fiscal Service,14,18,13,17,
Total,294,332,287,327,
