Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AF,4,5,6,8,12,19,0,0,5,1,0,0,0,0,
ARMY,4,19,3,6,13,51,9,1,27,1,0,0,0,0,
DCAA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
DFAS,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
DIA,9,10,10,1,1,4,0,0,0,0,0,0,0,0,
DLA,0,0,1,0,6,4,0,0,0,0,0,0,0,0,
DoDIG,0,4,0,0,1,14,0,0,13,0,0,0,0,0,
NAVY,14,10,10,1,17,46,7,0,27,0,0,0,0,0,
NGA,4,0,2,0,0,1,1,0,0,0,0,0,0,0,
NRO,1,0,1,0,0,1,1,1,1,1,1,1,0,0,
NSA,32,1,30,0,1,2,1,0,1,0,1,0,0,0,
OSD/JS,24,9,18,3,8,9,0,0,2,0,0,0,0,0,
Total,92,58,81,20,60,154,19,2,76,3,2,1,0,0,
