Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AF,6,0,6,6,33,82,3,0,37,3,1,0,0,0,
ARMY,1,0,0,0,3,4,2,0,2,0,1,0,0,0,
DCAA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
DFAS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
DHA,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
DIA,32,0,32,2,1,16,1,0,1,0,2,0,0,0,
DLA,0,0,0,1,2,4,0,0,3,0,0,0,0,0,
DoD IG,1,0,2,2,4,19,2,0,18,0,2,0,0,0,
DSS,1,0,0,1,1,0,1,0,1,0,1,0,0,0,
NAVY,3,1,3,0,6,20,4,0,11,3,7,1,0,0,
NGA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,
NRO,2,0,2,0,0,0,0,0,0,0,0,0,0,0,
NSA,7,2,10,0,0,1,0,0,1,1,2,1,0,0,
OSD/JS,24,1,23,1,16,30,0,1,0,0,5,1,0,0,
Total,78,4,79,14,68,182,13,1,74,7,21,3,0,0,
