Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
BIS,48,6,0,0,0,0,0,0,0,0,0,0,0,54,2008
Census,152,29,3,2,2,0,0,0,0,0,0,0,0,188,2008
EDA,53,0,0,0,0,0,0,0,0,0,0,0,0,53,2008
ESA,7,2,0,0,0,0,0,0,0,0,0,0,0,9,2008
ITA,52,21,4,1,0,0,0,0,0,0,0,0,0,78,2008
MBDA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,2008
NIST,133,16,4,9,5,0,1,2,0,1,2,0,1,174,2008
NOAA,274,0,0,0,0,0,0,0,0,0,0,0,0,274,2008
NTIA,3,4,0,0,0,0,0,0,0,0,0,0,0,7,2008
NTIS,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2008
OIG,37,2,1,0,2,0,0,1,0,0,0,2,1,46,2008
OS,160,25,4,0,0,0,0,0,0,0,0,0,0,189,2008
PTO,246,17,1,1,1,0,0,0,0,0,0,1,0,267,2008
Total,1204,122,17,13,10,0,1,3,0,1,2,3,2,1378,2008
BIS,60,11,1,1,1,1,0,0,0,0,0,0,0,75,2009
Census,203,18,2,1,0,0,0,0,0,0,0,0,0,224,2009
EDA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2009
ESA,10,2,0,0,0,0,0,0,0,0,0,0,0,12,2009
ITA,87,41,3,5,3,0,0,2,0,0,0,0,0,141,2009
MBDA,9,0,0,1,0,0,0,0,0,0,0,0,0,10,2009
NIST,119,24,5,4,2,1,1,0,0,0,1,0,0,157,2009
NOAA,413,0,0,0,0,0,0,0,0,0,0,0,0,413,2009
NTIA,42,1,0,0,0,0,0,0,0,0,0,0,0,43,2009
NTIS,20,0,0,0,0,0,0,0,0,0,0,0,0,20,2009
OIG,38,9,2,0,0,0,0,1,0,1,0,0,0,51,2009
OS,115,47,4,0,0,0,0,0,0,0,0,0,0,166,2009
PTO,94,250,30,1,0,0,0,0,0,0,0,0,0,375,2009
Total,1226,403,47,13,6,2,1,3,0,1,1,0,0,1703,2009
BIS,47,16,7,6,1,1,0,0,1,1,0,0,0,80,2010
Census,214,55,9,2,3,0,1,0,0,0,0,0,0,284,2010
EDA,25,0,0,0,0,0,0,0,0,0,0,0,0,25,2010
ESA,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2010
ITA,41,27,15,1,0,1,0,0,0,0,1,0,0,86,2010
MBDA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2010
NIST,170,11,6,0,2,1,1,2,1,1,5,0,2,202,2010
NOAA,323,0,0,0,0,0,0,0,0,0,0,0,0,323,2010
NTIA,38,9,0,0,0,0,0,0,0,0,0,0,0,47,2010
NTIS,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2010
OIG,24,2,1,2,1,1,3,0,0,0,0,0,0,34,2010
OS,129,39,1,0,0,0,0,0,0,0,0,0,0,169,2010
PTO,44,196,5,0,0,0,0,0,0,0,0,0,0,245,2010
Total,1078,355,44,11,7,4,5,2,2,2,6,0,2,1518,2010
BIS,22,7,0,0,0,1,0,0,0,0,0,0,0,30,2011
Census,253,65,18,4,8,0,1,1,0,0,1,0,0,351,2011
EDA,45,0,0,0,0,0,0,0,0,0,0,0,0,45,2011
ESA,9,1,0,0,0,0,0,0,0,0,0,0,0,10,2011
ITA,5,5,9,14,4,3,0,1,0,0,0,0,0,41,2011
MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
NIST,178,28,11,8,2,4,1,2,0,3,4,3,10,254,2011
NOAA,339,165,76,35,7,13,8,1,2,2,13,6,3,670,2011
NTIA,30,5,0,0,0,0,0,0,0,0,0,0,0,35,2011
NTIS,11,1,0,0,0,0,0,0,0,0,0,0,0,12,2011
OIG,47,9,1,0,0,0,0,0,0,0,0,0,0,57,2011
OS,93,75,27,9,0,0,0,0,0,0,0,0,0,204,2011
PTO,9,294,2,0,0,0,0,0,0,0,0,0,0,305,2011
Total,1041,655,144,70,21,21,10,5,2,5,18,9,13,2014,2011
BIS,28,4,0,1,0,0,0,0,0,0,0,0,0,33,2012
Census,91,57,0,0,0,0,0,0,0,0,0,0,0,148,2012
EDA,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2012
ESA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2012
ITA,8,7,1,1,2,2,1,0,1,0,3,1,0,27,2012
