Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
BPA,43,13,2,0,1,2,0,0,1,0,0,0,0,62,2008
CBFO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008
CH,35,3,0,0,0,0,0,0,0,0,0,0,0,38,2008
EMCBC,12,7,3,0,4,1,0,0,1,0,0,0,0,28,2008
GFO,22,4,0,0,0,0,0,0,0,0,0,0,0,26,2008
HQ,259,78,48,31,27,25,17,13,14,10,23,4,40,589,2008
ID,22,1,0,0,0,0,0,0,0,0,0,0,0,23,2008
NETL,35,6,6,1,1,1,0,0,0,0,0,0,0,50,2008
NNSA/AL,4,10,12,17,22,19,17,11,17,18,33,125,16,321,2008
NR,4,0,0,2,0,1,0,0,0,0,0,0,0,7,2008
ORO,74,56,44,35,18,9,11,2,3,2,4,0,0,258,2008
OSTI,4,2,0,0,0,0,0,0,0,0,0,0,0,6,2008
PNSO,7,3,0,0,0,0,0,0,0,0,0,0,0,10,2008
RL,73,22,2,1,0,0,0,0,0,0,0,0,0,98,2008
SEPA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2008
SPR,7,1,0,0,0,0,0,0,0,0,0,0,0,8,2008
SROO,10,9,5,2,2,1,1,1,2,0,6,3,5,47,2008
SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2008
WAPA,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2008
Total,639,216,122,89,75,59,46,27,38,30,66,132,61,1600,2008
BPA,34,13,3,1,1,0,1,1,0,0,0,0,0,54,2009
CBFO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2009
CH,42,0,0,0,0,0,0,0,0,0,0,0,0,42,2009
EMCBC,12,13,9,3,3,0,0,0,0,0,0,0,0,40,2009
GFO,36,11,4,4,0,4,3,0,0,0,0,0,0,62,2009
HQ,361,93,45,39,20,11,8,3,2,3,21,18,31,655,2009
ID,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2009
NETL,48,7,3,1,0,2,0,0,0,0,0,0,0,61,2009
NNSA/AL,19,10,3,1,0,0,0,0,0,0,0,0,0,33,2009
NR,10,2,2,1,0,0,0,0,0,0,0,0,0,15,2009
ORO,144,43,27,9,0,0,0,0,0,0,0,0,0,223,2009
OSTI,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2009
PNSO,17,2,0,0,0,0,0,0,0,0,0,0,0,19,2009
RL,59,9,3,0,0,0,0,0,0,0,0,0,0,71,2009
SEPA,7,1,0,0,0,0,0,0,0,0,0,0,0,8,2009
SPR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2009
SROO,35,8,3,0,2,0,0,0,0,0,0,0,0,48,2009
SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2009
WAPA,31,1,0,0,0,0,0,0,0,0,0,0,0,32,2009
Total,910,213,102,59,26,17,12,4,2,3,21,18,31,1418,2009
BPA,50,19,6,3,1,0,0,0,0,0,0,0,0,79,2010
CBFO,15,1,0,0,0,0,0,0,0,0,0,0,0,16,2010
CH,44,0,0,0,0,0,0,0,0,0,0,0,0,44,2010
EMCBC,12,4,4,2,0,2,0,0,0,0,1,1,0,26,2010
