Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Office of the AG,34,24,14,8,5,4,3,2,6,2,8,7,7,124,2008
Office of the DAG,11,9,8,6,1,5,2,4,7,3,10,6,1,73,2008
Office of the Assoc. AG,5,4,5,1,2,2,1,1,1,0,1,1,0,24,2008
Antitrust,69,8,4,7,1,0,0,0,0,0,0,0,0,89,2008
ATF,1009,104,46,25,6,7,4,2,0,0,1,0,0,1204,2008
BOP,11203,1400,695,322,196,147,94,70,44,24,38,0,0,14233,2008
Civil,198,34,10,8,9,1,2,0,0,0,0,0,0,262,2008
Civil Rights,250,37,20,0,0,0,0,0,0,0,0,0,0,307,2008
COPS,50,1,0,0,0,0,0,0,0,0,0,0,0,51,2008
Criminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
CRS,10,1,0,0,0,0,0,0,0,0,0,0,0,11,2008
DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
ENRD,41,22,16,4,6,4,2,0,1,2,2,0,2,102,2008
EOIR,6325,3112,946,373,190,110,69,42,20,23,61,44,15,11330,2008
EOUSA,1136,496,347,314,222,146,84,85,62,57,158,90,464,3661,2008
EOUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
FBI,8908,1210,685,519,500,378,265,172,139,148,403,191,234,13752,2008
FCSC,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2008
JMD,65,14,3,4,1,0,0,0,0,0,0,0,0,87,2008
NDIC,36,15,2,2,1,1,0,0,0,0,1,0,0,58,2008
NSD,123,8,11,1,2,0,0,1,0,0,0,0,0,146,2008
ODR,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2008
OFDT,24,5,0,0,0,0,1,0,0,0,0,0,0,30,2008
OIG,121,26,20,17,6,2,4,5,4,0,7,2,3,217,2008
OIP,443,22,1,8,3,1,1,0,1,2,5,3,2,492,2008
OIPL,2,1,2,0,0,0,0,0,1,0,0,0,0,6,2008
OJP,188,35,10,1,0,1,1,0,0,0,0,0,0,236,2008
OLA,14,12,3,6,1,5,0,1,2,1,8,5,4,62,2008
OLC,16,16,6,5,3,4,0,1,1,1,0,0,0,53,2008
OLP,25,21,28,5,1,2,0,1,1,1,2,1,2,90,2008
OPR,41,12,7,5,0,0,0,2,0,1,2,1,1,72,2008
OSG,61,37,8,0,0,0,0,0,0,0,0,0,0,106,2008
OVW,33,3,0,0,0,0,0,0,0,0,0,0,0,36,2008
Pardon Attorney,43,12,2,0,0,0,0,0,0,0,0,0,0,57,2008
Public Affairs,2,4,1,2,0,1,0,0,0,0,0,1,0,11,2008
PRAO,15,0,0,1,0,0,0,0,0,0,0,0,0,16,2008
TAX,124,5,1,3,1,1,0,0,0,0,0,0,0,135,2008
USMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
USNCB,122,0,0,0,0,0,0,0,0,0,0,0,0,122,2008
USPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,30775,6710,2901,1647,1157,822,533,389,290,265,707,352,735,47283,2008
Office of the AG,98,26,23,7,7,3,4,4,2,1,13,6,9,203,2009
Office of the DAG,29,12,9,3,2,1,4,1,2,2,8,1,7,81,2009
Office of the Assoc. AG,18,5,8,1,1,0,1,1,1,2,2,0,2,42,2009
Antitrust,49,6,0,1,0,0,0,0,0,0,0,0,0,56,2009
ATF,1237,132,23,10,12,4,5,1,0,0,4,0,0,1428,2009
BOP,10273,2022,872,411,234,192,125,68,26,8,0,0,0,14231,2009
Civil,174,71,25,16,4,3,0,2,2,0,2,0,0,299,2009
Civil Rights,318,38,8,0,0,0,0,0,0,0,0,0,0,364,2009
COPS,66,0,0,0,0,0,0,0,0,0,0,0,0,66,2009
Criminal,102,57,55,46,26,11,8,4,3,5,3,0,0,320,2009
CRS,6,1,0,0,0,0,0,0,0,0,0,0,0,7,2009
DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ENRD,23,30,11,3,4,2,0,0,0,0,0,0,0,73,2009
EOIR,7148,3024,1321,354,113,63,21,16,6,7,15,3,0,12091,2009
EOUSA,1303,421,373,301,205,174,115,83,84,44,179,94,326,3702,2009
EOUST,22,4,2,0,0,0,0,0,0,0,0,0,0,28,2009
FBI,4452,1253,848,566,443,386,228,136,111,83,198,77,104,8885,2009
FCSC,20,3,1,0,1,0,0,0,0,0,0,0,0,25,2009
JMD,50,11,3,3,1,1,0,1,0,0,1,0,0,71,2009
NDIC,77,6,1,1,0,0,0,0,0,0,0,0,0,85,2009
NSD,90,16,13,12,2,4,1,2,0,0,6,0,0,146,2009
ODR,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2009
OFDT,37,5,3,1,0,0,0,0,0,0,0,0,0,46,2009
OIG,162,3,0,0,0,0,0,0,0,0,0,0,0,165,2009
OIP,350,17,4,1,1,0,3,3,1,0,5,2,3,390,2009
OIPL,2,7,3,0,0,0,1,0,0,0,1,2,0,16,2009
OJP,219,44,19,0,2,1,0,0,0,0,0,0,0,285,2009
OLA,11,8,6,4,3,0,3,0,1,2,4,3,3,48,2009
OLC,14,4,3,2,1,1,0,0,0,0,2,1,6,34,2009
OLP,34,28,10,4,0,0,1,0,0,0,1,3,2,83,2009
OPR,33,18,14,11,2,0,3,0,1,1,0,0,0,83,2009
OSG,78,42,0,0,0,0,0,0,0,0,0,0,0,120,2009
OVW,36,7,1,0,0,0,0,0,0,0,0,0,0,44,2009
Pardon Attorney,77,11,8,2,0,0,0,0,0,0,0,0,0,98,2009
Public Affairs,22,7,5,0,0,0,1,0,1,1,4,0,0,41,2009
PRAO,14,1,0,0,0,0,0,0,0,0,0,0,0,15,2009
TAX,74,8,2,0,0,0,0,0,0,0,0,0,0,84,2009
USMS,1034,179,70,31,12,2,0,4,1,0,3,1,0,1337,2009
USNCB,142,2,0,0,0,0,0,0,0,0,0,0,0,144,2009
USPC,482,30,10,1,2,0,1,0,1,0,1,0,0,528,2009
Total,28383,7559,3754,1792,1078,848,525,326,243,156,452,193,462,45771,2009
Office of the AG,69,19,11,9,8,12,4,3,6,2,6,11,4,164,2010
Office of the DAG,19,9,6,3,5,5,0,4,7,2,7,9,3,79,2010
Office of the Assoc. AG,23,5,2,0,4,4,1,2,5,1,3,1,0,51,2010
Antitrust,54,9,0,0,0,0,0,0,0,0,0,0,0,63,2010
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
BOP,11039,1684,701,439,263,172,113,70,68,68,78,15,4,14714,2010
Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Civil Rights,312,26,10,0,0,0,0,0,0,0,0,0,0,348,2010
COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Criminal,149,53,25,7,7,3,2,2,1,0,1,0,0,250,2010
CRS,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2010
DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ENRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
EOIR,8375,5677,1838,516,227,151,75,50,27,15,17,1,0,16969,2010
EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
EOUST,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2010
FBI,7508,2336,1120,838,530,343,216,135,126,77,201,74,37,13541,2010
FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
JMD,33,19,4,4,1,3,1,0,0,0,2,2,1,70,2010
NDIC,58,15,0,1,0,0,0,0,1,0,1,0,0,76,2010
NSD,62,4,0,0,0,0,0,0,0,0,0,0,0,66,2010
OCDETF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
ODR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OFDT,16,1,2,0,0,0,0,0,1,0,0,0,0,20,2010
OIG,170,5,0,0,0,0,0,0,0,0,0,0,0,175,2010
OIP,73,7,8,7,4,1,2,3,1,1,5,0,1,113,2010
OIPL,2,1,2,1,2,1,1,1,0,1,3,1,0,16,2010
OJP,168,66,32,12,10,5,5,3,5,0,0,0,0,306,2010
OLA,5,3,1,3,5,4,1,1,2,2,29,5,2,63,2010
OLC,10,2,0,0,2,0,1,0,1,0,2,1,0,19,2010
OLP,48,6,1,3,0,3,1,1,1,0,3,1,1,69,2010
OPR,47,29,5,1,2,0,0,1,0,0,0,0,0,85,2010
OSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OVW,43,8,0,0,0,0,0,0,0,0,0,0,0,51,2010
Pardon Attorney,70,6,1,0,0,0,0,0,0,0,0,0,0,77,2010
Public Affairs,5,0,4,0,0,0,3,1,0,0,2,2,0,17,2010
PRAO,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2010
TAX,95,5,3,0,0,2,0,0,0,0,0,0,0,105,2010
USMS,1444,158,43,23,20,4,4,5,0,0,1,0,0,1702,2010
USNCB,110,12,7,4,6,8,0,0,0,0,0,0,0,147,2010
USPC,369,38,20,16,5,1,1,1,1,0,2,1,0,455,2010
Total,30410,10204,3846,1887,1101,722,431,283,253,169,363,124,53,49846,2010
Office of the AG,81,23,16,10,9,5,7,9,3,1,5,0,0,169,2011
Office of the DAG,35,11,7,8,7,3,5,6,2,1,3,0,0,88,2011
Office of the Assoc. AG,17,7,6,5,4,1,5,1,1,0,1,0,0,48,2011
Antitrust,44,6,0,0,0,0,0,0,0,0,0,0,0,50,2011
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
BOP,8317,1583,780,505,384,249,216,123,60,56,126,16,9,12424,2011
Civil,243,40,13,8,3,3,1,2,2,0,0,0,0,315,2011
Civil Rights,341,24,2,0,0,0,0,0,0,0,0,0,0,367,2011
COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Criminal,143,29,7,5,1,0,3,0,1,0,3,0,1,193,2011
CRS,9,1,0,0,0,0,0,0,0,0,0,0,0,10,2011
DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
ENRD,70,19,4,2,1,0,0,0,0,0,0,0,0,96,2011
EOIR,11665,6360,1044,292,159,108,78,66,29,35,74,25,8,19943,2011
EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
EOUST,18,2,1,0,0,0,0,0,0,0,0,0,0,21,2011
FBI,4929,1326,708,397,299,145,127,82,64,66,155,47,17,8362,2011
FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
JMD,38,15,5,3,2,0,1,0,0,0,1,0,0,65,2011
NDIC,26,12,0,1,2,0,0,0,1,0,0,0,0,42,2011
NSD,208,7,5,0,0,0,0,0,0,0,0,0,0,220,2011
OCDETF,20,3,2,1,0,0,0,0,0,0,0,0,0,26,2011
ODR,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2011
OFDT,10,2,0,0,0,0,0,0,0,0,0,0,0,12,2011
OIG,186,7,2,3,1,1,0,0,1,0,0,0,0,201,2011
OIP,123,15,13,9,9,6,6,8,1,3,14,0,0,207,2011
OIPL,3,3,1,2,0,0,0,0,0,0,0,0,0,9,2011
OJP,224,33,17,5,8,3,2,3,1,1,1,0,0,298,2011
OLA,14,1,7,4,1,3,2,1,0,1,4,1,0,39,2011
OLC,33,2,1,3,1,0,1,4,0,0,9,6,6,66,2011
OLP,35,2,2,2,1,1,0,0,0,0,0,0,0,43,2011
OPR,20,11,3,1,1,1,0,0,0,0,0,0,0,37,2011
OSG,73,17,1,1,0,0,0,0,0,0,0,0,0,92,2011
OVW,64,4,1,0,0,0,0,0,0,0,0,0,0,69,2011
Pardon Attorney,82,10,3,1,0,0,0,0,0,0,0,0,1,97,2011
Public Affairs,9,0,4,1,0,0,4,0,0,1,0,0,0,19,2011
PRAO,24,0,0,0,0,0,0,0,0,0,0,0,1,25,2011
TAX,65,7,0,0,0,0,0,0,0,0,0,0,0,72,2011
USMS,1831,172,72,36,18,7,4,1,2,2,1,0,0,2146,2011
USNCB,101,16,2,1,0,0,0,0,1,3,0,0,0,124,2011
USPC,427,22,6,3,1,1,0,0,0,2,1,0,0,463,2011
Total,29539,9792,2735,1309,912,537,462,306,169,172,398,95,43,46469,2011
Office of the AG,114,23,7,2,1,2,0,0,0,1,1,2,1,154,2012
Office of the DAG,46,12,5,0,2,1,0,2,0,0,2,1,1,72,2012
Office of the Assoc. AG,35,8,6,0,0,1,0,0,1,0,1,0,0,52,2012
Antitrust,77,0,0,0,0,0,0,0,0,0,0,0,0,77,2012
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
BOP,9596,2042,599,290,154,87,64,45,23,20,45,13,4,12982,2012
Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Civil Rights,289,37,12,0,0,0,0,1,0,0,0,0,1,340,2012
COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Criminal,43,40,12,4,2,0,1,0,1,1,2,1,0,107,2012
CRS,20,0,1,0,0,0,0,0,0,0,0,0,0,21,2012
DEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
ENRD,44,7,1,0,0,0,0,0,0,0,0,0,0,52,2012
EOIR,16935,5002,759,266,125,55,36,26,12,17,30,15,9,23287,2012
EOUSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
EOUST,24,1,0,0,0,0,0,0,0,0,0,0,0,25,2012
FBI,6267,1220,582,393,283,167,137,79,74,57,73,33,23,9388,2012
FCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
JMD,36,16,5,4,2,1,0,0,0,0,0,0,0,64,2012
NSD,112,9,9,7,9,5,2,0,0,0,1,0,0,154,2012
OCDETF,8,2,4,2,0,0,0,0,0,0,0,0,0,16,2012
OFDT,23,4,6,0,0,0,1,0,0,0,0,0,0,34,2012
OIG,140,6,2,0,1,0,0,0,0,0,1,0,0,150,2012
OIP,177,27,7,0,1,2,0,4,2,2,2,2,1,227,2012
