Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FAA,4347,450,97,45,20,24,14,6,11,6,30,16,94,5160,2008
FHWA,309,73,27,6,10,8,1,3,1,1,6,4,1,450,2008
FMCSA,43,295,196,46,13,6,2,3,4,0,8,0,2,618,2008
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
FTA,120,47,14,5,4,4,1,0,0,0,1,0,0,196,2008
MARAD,64,15,6,4,2,0,6,0,1,1,6,3,25,133,2008
NHTSA,149,40,1,0,0,0,0,0,0,0,0,0,0,190,2008
OIG,24,3,2,0,2,0,0,1,0,2,8,9,19,70,2008
OST,91,12,4,2,3,1,0,2,2,0,2,2,4,125,2008
PHMSA,42,15,3,28,8,3,3,0,1,3,12,14,25,157,2008
RITA,27,7,6,4,0,0,0,0,0,0,0,0,0,44,2008
SLSDC,17,0,1,0,0,1,0,1,0,0,0,0,0,20,2008
Total,5233,957,357,140,62,47,27,16,20,13,73,48,170,7163,2008
FAA,3504,385,133,59,40,23,19,15,23,17,52,41,66,4377,2009
FHWA,280,71,20,12,7,3,12,2,3,2,4,1,1,418,2009
FMCSA,54,313,139,18,5,0,0,0,0,0,6,2,0,537,2009
FRA,133,83,31,12,16,7,12,6,3,3,18,4,23,351,2009
FTA,135,64,8,3,2,0,1,1,0,1,4,0,0,219,2009
MARAD,2,0,0,0,0,0,0,0,8,8,6,5,0,29,2009
NHTSA,157,94,12,4,2,0,0,1,1,0,0,0,0,271,2009
OIG,23,12,16,11,14,6,6,2,5,4,11,13,8,131,2009
OST,156,9,4,2,1,0,0,0,0,1,3,0,2,178,2009
PHMSA,73,15,0,4,4,4,1,3,1,6,6,4,8,129,2009
RITA,36,8,1,0,0,0,0,0,0,0,0,0,0,45,2009
SLSDC,4,0,0,0,0,0,0,0,1,0,0,0,0,5,2009
Total,4557,1054,364,125,91,43,51,30,45,42,110,70,108,6690,2009
FAA,4804,470,110,54,23,24,28,9,17,12,20,11,33,5615,2010
FHWA,234,52,16,3,6,3,1,1,0,1,2,0,6,325,2010
FMCSA,45,247,93,6,4,1,0,2,3,1,0,0,0,402,2010
FRA,94,82,33,20,14,15,18,10,13,13,19,27,34,392,2010
FTA,109,62,15,7,1,2,0,0,0,0,0,0,0,196,2010
MARAD,1,0,0,0,0,0,0,0,0,1,0,1,2,5,2010
NHTSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OIG,35,9,5,3,0,1,0,0,2,2,4,0,0,61,2010
OST,87,6,2,0,0,1,0,0,0,0,0,0,0,96,2010
PHMSA,36,12,5,2,1,3,0,1,0,0,0,0,1,61,2010
RITA,34,3,0,1,0,0,0,0,0,0,0,0,0,38,2010
SLSDC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2010
Total,5486,943,279,96,49,50,47,23,35,30,45,39,76,7198,2010
FAA,5775,835,213,65,24,13,13,12,11,7,29,15,33,7045,2011
