Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
HQ,967,439,111,72,48,40,36,25,18,10,45,22,65,1898
Region 1,170,57,15,3,1,0,0,0,1,0,3,0,0,250
Region 2,154,332,193,69,165,105,134,99,9,7,10,0,1,1278
Region 3,653,605,53,7,2,2,1,0,0,0,0,0,0,1323
Region 4,530,204,32,9,6,2,3,2,1,0,1,0,0,790
Region 5,1380,146,33,12,3,1,1,0,0,0,0,0,0,1576
Region 6,184,226,78,31,8,12,1,4,3,0,3,4,10,564
Region 7,383,127,9,2,2,0,0,0,0,0,0,0,0,523
Region 8,299,44,12,0,1,0,1,0,0,0,0,0,0,357
Region 9,257,196,32,8,2,4,0,0,0,0,1,0,0,500
Region 10,268,96,20,6,4,4,2,2,2,2,7,1,2,416
Total,5245,2472,588,219,242,170,179,132,34,19,70,27,78,9475
