Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FCSIC,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008
Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008
FCSIC,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2009
Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2009
FCSIC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2010
Total,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2010
FCSIC,10,0,0,0,0,0,0,0,0,0,0,0,0,10,2011
Total,10,0,0,0,0,0,0,0,0,0,0,0,0,10,2011
FCSIC,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2012
Total,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2012
FCSIC,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2013
Total,8,0,0,0,0,0,0,0,0,0,0,0,0,8,2013
FCSIC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2014
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2014
FCSIC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
