Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FDIC,451,62,3,0,0,0,0,0,0,0,0,0,0,516,2008
Total,451,62,3,0,0,0,0,0,0,0,0,0,0,516,2008
FDIC,1235,37,1,2,0,0,0,0,0,0,0,0,0,1275,2009
Total,1235,37,1,2,0,0,0,0,0,0,0,0,0,1275,2009
FDIC,528,175,47,24,31,34,25,13,51,15,4,0,0,947,2010
Total,528,175,47,24,31,34,25,13,51,15,4,0,0,947,2010
FDIC,1019,178,36,13,3,2,1,0,0,0,0,0,0,1252,2011
Total,1019,178,36,13,3,2,1,0,0,0,0,0,0,1252,2011
FDIC,725,109,8,3,0,0,0,0,0,0,0,0,0,845,2012
Total,725,109,8,3,0,0,0,0,0,0,0,0,0,845,2012
FDIC,66,547,81,6,0,0,0,0,0,0,0,0,0,700,2013
Total,66,547,81,6,0,0,0,0,0,0,0,0,0,700,2013
FDIC,439,28,1,0,0,0,0,0,0,0,0,0,0,468,2014
Total,439,28,1,0,0,0,0,0,0,0,0,0,0,468,2014
FDIC,188,124,12,3,1,1,0,0,0,0,0,0,0,329,2015
Total,188,124,12,3,1,1,0,0,0,0,0,0,0,329,2015
