Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FEC,25,13,9,12,5,1,5,1,1,0,3,2,0,77,2008
Total,25,13,9,12,5,1,5,1,1,0,3,2,0,77,2008
FEC,28,9,5,3,2,4,0,1,0,1,1,1,0,55,2009
Total,28,9,5,3,2,4,0,1,0,1,1,1,0,55,2009
FEC,43,16,4,3,3,1,3,0,0,1,3,0,2,79,2010
Total,43,16,4,3,3,1,3,0,0,1,3,0,2,79,2010
FEC,29,25,7,1,3,3,0,1,1,0,2,1,0,73,2011
Total,29,25,7,1,3,3,0,1,1,0,2,1,0,73,2011
FEC,27,4,5,4,4,1,1,0,1,0,2,1,0,50,2012
Total,27,4,5,4,4,1,1,0,1,0,2,1,0,50,2012
FEC,50,9,0,0,0,0,0,0,0,0,0,0,0,59,2013
Total,50,9,0,0,0,0,0,0,0,0,0,0,0,59,2013
FEC,46,26,2,2,1,1,1,0,0,0,0,0,0,79,2014
Total,46,26,2,2,1,1,1,0,0,0,0,0,0,79,2014
FEC,44,8,2,1,0,2,1,1,0,0,0,0,0,59,2015
Total,44,8,2,1,0,2,1,1,0,0,0,0,0,59,2015
