Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FERC,27,17,0,0,0,0,0,0,0,0,0,0,0,44,2008
Total,27,17,0,0,0,0,0,0,0,0,0,0,0,44,2008
FERC,33,24,1,0,0,0,0,0,0,0,0,0,0,58,2009
Total,33,24,1,0,0,0,0,0,0,0,0,0,0,58,2009
FERC,24,18,2,3,1,1,1,0,0,0,1,0,0,51,2010
Total,24,18,2,3,1,1,1,0,0,0,1,0,0,51,2010
FERC,24,16,0,0,0,0,0,0,0,0,0,0,0,40,2011
Total,24,16,0,0,0,0,0,0,0,0,0,0,0,40,2011
FERC,10,20,0,0,0,0,0,0,0,0,0,0,0,30,2012
Total,10,20,0,0,0,0,0,0,0,0,0,0,0,30,2012
FERC,27,26,0,1,1,0,0,0,0,0,0,0,0,55,2013
Total,27,26,0,1,1,0,0,0,0,0,0,0,0,55,2013
FERC,28,34,4,2,0,0,0,0,0,0,0,0,0,68,2014
Total,28,34,4,2,0,0,0,0,0,0,0,0,0,68,2014
FERC,45,35,2,0,0,0,1,0,0,0,0,0,0,83,2015
Total,45,35,2,0,0,0,1,0,0,0,0,0,0,83,2015
