 Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
 FMC,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2008
Total,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2008
FMC,4,8,0,3,1,0,1,0,0,0,0,5,4,26,2009
Total,4,8,0,3,1,0,1,0,0,0,0,5,4,26,2009
FMC,11,5,4,1,1,0,1,0,2,1,1,1,5,33,2010
Total,11,5,4,1,1,0,1,0,2,1,1,1,5,33,2010
FMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
FMC,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2012
Total,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2012
FMC,12,1,0,0,0,0,0,0,0,0,0,0,0,13,2013
Total,12,1,0,0,0,0,0,0,0,0,0,0,0,13,2013
FMC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2014
Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2014
FMC,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Total,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
