Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FOMC,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2008
Total,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2008
FOMC,13,0,0,0,0,0,0,0,0,0,0,0,0,13,,2009
Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2009
FOMC,24,0,0,0,0,0,0,0,0,0,0,0,0,24,2010
Total,24,0,0,0,0,0,0,0,0,0,0,0,0,24,2010
FOMC,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2011
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2011
FOMC,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2012
Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2012
FOMC,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2013
Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2013
FOMC,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2014
Total,16,0,0,0,0,0,0,0,0,0,0,0,0,16,2014
FOMC,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
Total,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2015
