Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FRB,315,4,0,0,0,0,0,0,0,0,0,0,0,319,2008
Total,315,4,0,0,0,0,0,0,0,0,0,0,0,319,2008
FRB,280,3,0,0,0,0,0,0,0,0,0,0,0,283,2009
Total,280,3,0,0,0,0,0,0,0,0,0,0,0,283,2009
FRB,264,11,1,1,0,1,0,0,0,0,0,0,0,278,2010
Total,264,11,1,1,0,1,0,0,0,0,0,0,0,278,2010
FRB,305,8,0,0,0,0,0,0,0,0,0,0,0,313,2011
Total,305,8,0,0,0,0,0,0,0,0,0,0,0,313,2011
FRB,355,3,0,0,0,0,0,0,0,0,0,0,0,358,2012
Total,355,3,0,0,0,0,0,0,0,0,0,0,0,358,2012
FRB,368,16,1,0,1,0,0,0,1,0,0,0,0,387,2013
Total,368,16,1,0,1,0,0,0,1,0,0,0,0,387,2013
FRB,345,29,7,1,1,0,0,2,1,0,1,0,0,387,2014
Total,345,29,7,1,1,0,0,2,1,0,1,0,0,387,2014
FRB,343,37,2,2,0,0,2,1,2,0,0,0,0,389,2015
Total,343,37,2,2,0,0,2,1,2,0,0,0,0,389,2015
