Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
GSA,224,64,11,1,0,0,0,0,0,0,0,1,0,301,2008
Total,224,64,11,1,0,0,0,0,0,0,0,1,0,301,2008
GSA,743,502,180,68,11,12,3,2,1,4,5,0,1,1532,2009
Total,743,502,180,68,11,12,3,2,1,4,5,0,1,1532,2009
GSA,464,754,236,88,43,20,9,1,1,3,1,1,1,1622,2010
Total,464,754,236,88,43,20,9,1,1,3,1,1,1,1622,2010
GSA,502,654,321,80,45,27,26,6,4,6,2,2,2,1677,2011
Total,502,654,321,80,45,27,26,6,4,6,2,2,2,1677,2011
GSA,380,612,329,130,70,94,129,7,6,4,6,3,3,1773,2012
Total,380,612,329,130,70,94,129,7,6,4,6,3,3,1773,2012
GSA,114,145,0,0,0,0,0,0,0,0,0,0,0,259,2013
Total,114,145,0,0,0,0,0,0,0,0,0,0,0,259,2013
GSA,313,175,0,0,0,0,0,0,0,0,0,0,0,488,2014
Total,313,175,0,0,0,0,0,0,0,0,0,0,0,488,2014
GSA,326,355,0,0,0,0,0,0,0,0,0,0,0,681,2015
Total,326,355,0,0,0,0,0,0,0,0,0,0,0,681,2015
