Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
ACF,397,86,9,11,20,47,97,118,109,17,17,3,6,937
CMS,17098,62,59,22,1,1,1,0,0,1,0,0,0,17245
OIG,762,0,0,0,0,0,0,0,0,0,0,0,0,762
CDC,185,52,35,29,16,21,10,11,13,11,21,18,34,456
FDA,5249,559,178,96,50,60,46,28,44,28,0,0,0,6338
HRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHS,21,23,19,0,0,0,0,0,0,0,0,0,0,63
NIH,787,176,21,6,0,0,0,0,0,0,0,0,0,990
SAMHSA,59,2,5,3,2,2,2,0,0,0,5,0,1,81
OS,668,18,0,0,0,0,0,0,0,0,0,0,0,686
OASH,23,193,1,0,0,0,0,0,0,0,0,0,0,217
ACL,4,5,0,0,2,0,0,0,0,0,0,0,0,11
Total,25253,1176,327,167,91,131,156,157,166,57,43,21,41,27786
