Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
HQ,309,117,53,30,33,39,17,10,5,6,21,10,0,650
OIG,121,6,0,0,0,0,0,0,0,0,0,0,0,127
R01,46,5,4,3,3,2,5,3,3,1,0,0,0,75
R02,41,19,2,1,0,0,0,1,0,0,0,0,0,64
R03,100,16,4,2,3,1,1,0,0,0,0,0,0,127
R04,128,26,8,1,1,1,0,0,0,0,1,0,0,166
R05,45,26,8,1,0,1,0,0,0,0,0,0,1,82
R06,72,9,3,1,0,1,0,0,0,0,0,0,0,86
R07,23,7,0,0,0,0,0,0,0,0,0,0,0,30
R08,50,12,7,7,6,1,0,2,0,0,0,0,0,85
R09,95,40,11,7,2,2,2,4,4,2,3,0,0,172
R0X,32,7,2,0,0,0,1,1,0,0,0,0,0,43
Total,1062,290,102,53,48,48,26,21,12,9,25,10,1,1707
