Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
IAF,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008
Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2008
IAF,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2009
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2009
IAF,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2010
Total,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2010
IAF,14,2,0,0,0,0,0,0,0,0,0,0,0,16,2011
Total,14,2,0,0,0,0,0,0,0,0,0,0,0,16,2011
IAF,9,0,1,0,0,0,0,0,0,0,0,0,0,10,2012
Total,9,0,1,0,0,0,0,0,0,0,0,0,0,10,2012
IAF,9,2,0,0,0,0,0,0,0,0,0,0,0,11,2013
Total,9,2,0,0,0,0,0,0,0,0,0,0,0,11,2013
IAF,2,4,1,1,0,0,0,0,0,0,0,0,0,8,2014
Total,2,4,1,1,0,0,0,0,0,0,0,0,0,8,2014
IAF,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2015
