Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
IMLS,37,7,0,0,0,0,0,0,0,0,0,0,0,44,2008
Total,37,7,0,0,0,0,0,0,0,0,0,0,0,44,2008
IMLS,33,4,0,0,0,0,0,0,0,0,0,0,0,37,2009
Total,33,4,0,0,0,0,0,0,0,0,0,0,0,37,2009
IMLS,45,2,0,0,0,0,0,0,0,0,0,0,0,47,2010
Total,45,2,0,0,0,0,0,0,0,0,0,0,0,47,2010
IMLS,31,1,0,0,0,0,0,0,0,0,0,0,0,32,2011
Total,31,1,0,0,0,0,0,0,0,0,0,0,0,32,2011
IMLS,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2012
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2012
IMLS,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2013
Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,2013
IMLS,43,0,0,0,0,0,0,0,0,0,0,0,0,43,2014
Total,43,0,0,0,0,0,0,0,0,0,0,0,0,43,2014
IMLS,25,0,0,0,0,0,0,0,0,0,0,0,0,25,2015
Total,25,0,0,0,0,0,0,0,0,0,0,0,0,25,2015
