Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
LSC,0,2,1,0,1,0,0,0,0,0,1,0,1,6,2010
Total,0,2,1,0,1,0,0,0,0,0,1,0,1,6,2010
LSC,10,3,4,1,1,1,0,1,1,2,6,3,12,45,2011
Total,10,3,4,1,1,1,0,1,1,2,6,3,12,45,2011
OLA,26,1,0,0,0,0,0,0,0,0,0,0,0,27,2012
OIG,7,1,0,0,0,0,0,0,0,0,0,0,0,8,2012
Total,33,2,0,0,0,0,0,0,0,0,0,0,0,35,2012
OLA,21,2,1,0,0,0,0,0,0,0,0,0,0,24,2013
OIG,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2013
Total,34,2,1,0,0,0,0,0,0,0,0,0,0,37,2013
OLA,32,10,0,0,0,0,0,0,0,0,0,0,0,42,2014
OIG,12,0,0,0,0,0,0,0,0,0,0,0,0,12,2014
Total,44,10,0,0,0,0,0,0,0,0,0,0,0,54,2014
OLA,31,4,0,0,0,0,0,0,0,0,0,0,0,35,2015
OIG,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2015
Total,42,4,0,0,0,0,0,0,0,0,0,0,0,46,2015
