Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
ARC,16,2,9,5,12,0,14,5,3,1,4,5,2,78,2008
DFRC,5,1,2,1,0,0,0,0,0,1,1,0,0,11,2008
GRC,9,1,1,0,0,0,0,0,0,0,0,0,0,11,2008
GSFC,17,6,5,0,1,0,0,1,1,0,0,0,0,31,2008
HQS,50,38,3,6,11,0,10,0,0,0,0,0,0,118,2008
JPL,17,7,5,1,4,2,0,0,1,0,0,0,0,37,2008
JSC,69,1,0,0,0,0,0,0,0,0,0,0,0,70,2008
KSC,71,3,2,3,0,0,0,0,0,0,0,0,0,79,2008
LaRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
MSFC,73,26,2,0,0,0,0,0,0,0,0,0,0,101,2008
NSSC,13,2,0,0,0,0,0,0,0,0,0,0,0,15,2008
OIG,20,10,3,1,2,2,0,1,2,0,0,0,0,41,2008
SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2008
Total,361,97,32,17,30,4,24,7,7,2,5,5,2,593,2008
ARC,16,2,9,5,12,0,14,5,3,1,4,5,2,78,2009
DFRC,5,1,2,1,0,0,0,0,0,1,1,0,0,11,2009
GRC,9,1,1,0,0,0,0,0,0,0,0,0,0,11,2009
GSFC,17,6,5,0,1,0,0,1,1,0,0,0,0,31,2009
HQS,50,38,3,6,11,0,10,0,0,0,0,0,0,118,2009
JPL,17,7,5,1,4,2,0,0,1,0,0,0,0,37,2009
JSC,69,1,0,0,0,0,0,0,0,0,0,0,0,70,2009
KSC,71,3,2,3,0,0,0,0,0,0,0,0,0,79,2009
LaRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
MSFC,73,26,2,0,0,0,0,0,0,0,0,0,0,101,2009
NSSC,13,2,0,0,0,0,0,0,0,0,0,0,0,15,2009
OIG,20,10,3,1,2,2,0,1,2,0,0,0,0,41,2009
SSC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2009
