Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
NEH,9,6,1,0,0,0,0,0,0,0,0,0,0,16,2008
Total,9,6,1,0,0,0,0,0,0,0,0,0,0,16,2008
NEH,20,7,0,0,0,0,0,0,0,0,0,0,0,27,2009
Total,20,7,0,0,0,0,0,0,0,0,0,0,0,27,2009
NEH,28,11,0,0,0,0,0,0,0,0,0,0,0,39,2010
Total,28,11,0,0,0,0,0,0,0,0,0,0,0,39,2010
NEH,24,8,0,0,0,0,0,0,0,0,0,0,0,32,2011
Total,24,8,0,0,0,0,0,0,0,0,0,0,0,32,2011
NEH,21,1,0,0,0,0,0,0,0,0,0,0,0,22,2012
Total,21,1,0,0,0,0,0,0,0,0,0,0,0,22,2012
NEH,30,0,0,0,0,0,0,0,0,0,0,0,0,30,2013
Total,30,0,0,0,0,0,0,0,0,0,0,0,0,30,2013
NEH,35,5,0,0,0,0,0,0,0,0,0,0,0,40,2014
Total,35,5,0,0,0,0,0,0,0,0,0,0,0,40,2014
NEH,51,0,0,0,0,0,0,0,0,0,0,0,0,51,2015
Total,51,0,0,0,0,0,0,0,0,0,0,0,0,51,2015
