Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
NIGC,55,11,8,2,0,0,0,0,0,0,0,0,0,76,2008
Total,55,11,8,2,0,0,0,0,0,0,0,0,0,76,2008
NIGC,35,8,4,0,0,0,0,0,0,0,0,0,0,47,2009
Total,35,8,4,0,0,0,0,0,0,0,0,0,0,47,2009
NIGC,35,11,4,1,1,2,1,0,0,1,0,0,0,56,2010
Total,35,11,4,1,1,2,1,0,0,1,0,0,0,56,2010
NIGC,35,12,5,7,1,1,0,0,0,0,1,0,0,62,2011
Total,35,12,5,7,1,1,0,0,0,0,1,0,0,62,2011
NIGC,16,6,4,1,4,2,4,1,0,0,1,0,0,39,2012
Total,16,6,4,1,4,2,4,1,0,0,1,0,0,39,2012
NIGC,11,2,6,5,1,2,0,5,3,0,3,2,2,42,2013
Total,11,2,6,5,1,2,0,5,3,0,3,2,2,42,2013
NIGC,22,7,8,4,3,3,1,0,1,0,4,5,5,63,2014
Total,22,7,8,4,3,3,1,0,1,0,4,5,5,63,2014
NIGC,16,8,0,1,0,0,1,0,0,1,1,0,1,29,2015
Total,16,8,0,1,0,0,1,0,0,1,1,0,1,29,2015
