Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
NRPC,6,2,0,0,0,0,0,0,0,0,0,0,0,8,2008
Total,6,2,0,0,0,0,0,0,0,0,0,0,0,8,2008
NRPC,32,12,4,0,0,0,0,0,0,0,0,0,0,48,2009
Total,32,12,4,0,0,0,0,0,0,0,0,0,0,48,2009
NRPC,31,43,5,6,0,0,0,0,0,0,0,0,0,85,2010
Total,31,43,5,6,0,0,0,0,0,0,0,0,0,85,2010
NRPC,34,3,2,1,0,0,1,0,0,0,3,0,0,44,2011
Total,34,3,2,1,0,0,1,0,0,0,3,0,0,44,2011
NRPC,49,1,2,0,0,0,0,0,0,0,0,0,0,52,2012
Total,49,1,2,0,0,0,0,0,0,0,0,0,0,52,2012
NRPC,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2013
Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,2013
NRPC,31,4,0,1,0,0,0,0,0,0,0,0,0,36,2014
Total,31,4,0,1,0,0,0,0,0,0,0,0,0,36,2014
NRPC,40,6,4,1,1,2,3,0,0,0,0,0,0,57,2015
Total,40,6,4,1,1,2,3,0,0,0,0,0,0,57,2015
