Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ODNI,60,7,4,6,8,4,7,2,7,4,7,3,18,137,2010
Total,60,7,4,6,8,4,7,2,7,4,7,3,18,137,2010
ODNI,261,7,6,1,2,2,2,6,3,4,3,24,14,335,2011
Total,261,7,6,1,2,2,2,6,3,4,3,24,14,335,2011
ODNI,214,7,4,2,4,0,0,0,0,0,2,2,1,236,2012
Total,214,7,4,2,4,0,0,0,0,0,2,2,1,236,2012
ODNI,166,47,17,4,12,1,3,4,1,3,5,0,21,284,2013
Total,166,47,17,4,12,1,3,4,1,3,5,0,21,284,2013
ODNI,194,37,14,8,2,1,2,6,2,0,1,0,0,267,2014
Total,194,37,14,8,2,1,2,6,2,0,1,0,0,267,2014
ODNI,122,7,7,2,4,1,2,2,2,0,4,2,5,160,2015
Total,122,7,7,2,4,1,2,2,2,0,4,2,5,160,2015
