Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OMB,71,51,11,4,1,4,0,0,0,0,0,0,0,142,2008
Total,71,51,11,4,1,4,0,0,0,0,0,0,0,142,2008
OMB,62,47,11,4,2,0,0,0,0,0,0,0,0,126,2009
Total,62,47,11,4,2,0,0,0,0,0,0,0,0,126,2009
OMB,40,40,19,17,3,6,8,3,0,2,3,0,0,141,2010
Total,40,40,19,17,3,6,8,3,0,2,3,0,0,141,2010
OMB,12,41,28,21,11,22,12,9,4,5,8,0,0,173,2011
Total,12,41,28,21,11,22,12,9,4,5,8,0,0,173,2011
OMB,49,53,23,21,19,8,7,10,2,0,14,0,1,207,2012
Total,49,53,23,21,19,8,7,10,2,0,14,0,1,207,2012
OMB,97,40,17,12,5,5,0,0,2,2,1,0,0,181,2013
Total,97,40,17,12,5,5,0,0,2,2,1,0,0,181,2013
OMB,54,34,14,11,9,6,6,3,5,5,16,7,10,180,2014
Total,54,34,14,11,9,6,6,3,5,5,16,7,10,180,2014
OMB,45,37,14,23,6,4,9,5,1,2,1,10,6,163,2015
Total,45,37,14,23,6,4,9,5,1,2,1,10,6,163,2015
