Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
ONHIR,111,12,0,0,0,0,0,0,0,0,0,0,0,123,2010
Total,111,12,0,0,0,0,0,0,0,0,0,0,0,123,2010
ONHIR,120,0,0,0,0,0,0,0,0,0,0,0,0,120,2011
Total,120,0,0,0,0,0,0,0,0,0,0,0,0,120,2011
ONHIR,116,1,0,0,0,0,0,0,0,0,0,0,0,117,2012
Total,116,1,0,0,0,0,0,0,0,0,0,0,0,117,2012
ONHIR,230,18,0,0,0,0,0,0,0,0,0,0,0,248,2013
Total,230,18,0,0,0,0,0,0,0,0,0,0,0,248,2013
ONHIR,163,0,0,0,0,0,0,0,0,0,0,0,0,163,2014
Total,163,0,0,0,0,0,0,0,0,0,0,0,0,163,2014
ONHIR,179,0,0,0,0,0,0,0,0,0,0,0,0,179,2015
Total,179,0,0,0,0,0,0,0,0,0,0,0,0,179,2015
