Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
OPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
OPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
OPM,4671,607,287,303,12,6,172,43,18,16,6,8,3,6152,2012
Total,4671,607,287,303,12,6,172,43,18,16,6,8,3,6152,2012
OPM,4692,1267,1557,29,17,17,24,10,3,1,4,0,1,7622,2013
Total,4692,1267,1557,29,17,17,24,10,3,1,4,0,1,7622,2013
OPM,5237,213,68,22,15,18,11,8,7,1,28,5,1,5634,2014
Total,5237,213,68,22,15,18,11,8,7,1,28,5,1,5634,2014
OPM,7590,143,27,8,3,2,0,1,0,0,10,3,0,7787,2015
Total,7590,143,27,8,3,2,0,1,0,0,10,3,0,7787,2015
