Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
OSC,23,1,1,0,0,0,0,1,0,0,0,0,0,26,2010
Total,23,1,1,0,0,0,0,1,0,0,0,0,0,26,2010
OSC,23,1,0,0,0,0,0,0,0,0,0,0,0,24,2011
Total,23,1,0,0,0,0,0,0,0,0,0,0,0,24,2011
OSC,33,5,4,0,2,1,0,0,1,1,1,0,0,48,2012
Total,33,5,4,0,2,1,0,0,1,1,1,0,0,48,2012
OSC,43,11,6,9,5,0,1,0,0,0,0,1,0,76,2013
Total,43,11,6,9,5,0,1,0,0,0,0,1,0,76,2013
OSC,46,6,2,3,0,2,3,1,0,0,1,2,1,67,2014
Total,46,6,2,3,0,2,3,1,0,0,1,2,1,67,2014
OSC,18,8,1,0,3,0,0,1,0,0,6,2,0,39,2015
Total,18,8,1,0,3,0,0,1,0,0,6,2,0,39,2015
