Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
OSTP,8,4,0,1,0,2,1,0,0,0,2,0,0,18,2008
Total,8,4,0,1,0,2,1,0,0,0,2,0,0,18,2008
OSTP,16,4,1,0,0,1,0,0,1,0,0,0,1,24,2009
Total,16,4,1,0,0,1,0,0,1,0,0,0,1,24,2009
OSTP,24,1,0,1,0,0,1,0,0,0,0,0,0,27,2010
Total,24,1,0,1,0,0,1,0,0,0,0,0,0,27,2010
OSTP,38,1,2,0,0,0,0,0,1,0,0,0,0,42,2011
Total,38,1,2,0,0,0,0,0,1,0,0,0,0,42,2011
OSTP,52,16,1,0,0,0,0,0,0,0,0,0,0,69,2012
Total,52,16,1,0,0,0,0,0,0,0,0,0,0,69,2012
OSTP,100,10,0,0,0,0,0,0,0,0,0,0,0,110,2013
Total,100,10,0,0,0,0,0,0,0,0,0,0,0,110,2013
OSTP,69,8,2,4,1,0,0,0,0,0,0,0,0,84,2014
Total,69,8,2,4,1,0,0,0,0,0,0,0,0,84,2014
OSTP,59,8,6,1,4,1,0,0,0,0,0,0,0,79,2015
Total,59,8,6,1,4,1,0,0,0,0,0,0,0,79,2015
