Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
FOIA Office,86,28,2,0,0,1,1,0,0,0,0,0,0,118,2008
OIG,14,0,0,0,0,0,0,0,0,0,0,0,0,14,2008
Total,100,28,2,0,0,1,1,0,0,0,0,0,0,132,2008
FOIA Office,196,27,6,0,0,0,0,0,0,0,0,0,0,229,2009
OIG,10,1,0,0,0,0,0,0,0,0,0,0,0,11,2009
Total,206,28,6,0,0,0,0,0,0,0,0,0,0,240,2009
FOIA Office,110,52,8,10,0,0,0,0,0,0,0,0,0,180,2010
OIG,8,1,1,0,0,0,0,0,0,0,0,0,0,10,2010
Total,118,53,9,10,0,0,0,0,0,0,0,0,0,190,2010
FOIA Office,52,34,24,11,7,4,2,1,1,0,0,0,0,136,2011
OIG,13,3,4,1,0,0,0,0,0,0,0,0,0,21,2011
Total,65,37,28,12,7,4,2,1,1,0,0,0,0,157,2011
FOIA Office,76,34,13,7,4,3,2,2,1,0,1,0,0,143,2012
OIG,11,2,1,0,0,0,0,0,0,0,0,0,0,14,2012
Total,87,36,14,7,4,3,2,2,1,0,1,0,0,157,2012
FOIA Office,35,55,20,5,5,3,0,0,0,0,1,0,0,124,2013
OIG,9,5,1,0,0,0,0,0,0,0,0,0,0,15,2013
Total,44,60,21,5,5,3,0,0,0,0,1,0,0,139,2013
FOIA Office,34,14,22,15,8,7,4,4,4,4,8,0,1,125,2014
OIG,9,8,1,0,0,0,0,0,0,0,0,0,0,18,2014
Total,43,22,23,15,8,7,4,4,4,4,8,0,1,143,2014
FOIA Office,42,23,8,10,3,6,2,6,5,4,5,10,15,139,2015
OIG,21,4,3,0,0,1,0,0,0,0,0,0,0,29,2015
Total,63,27,11,10,3,7,2,6,5,4,5,10,15,168,2015
