Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
RATB,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2011
Total,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2011
RATB,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2012
Total,15,0,0,0,0,0,0,0,0,0,0,0,0,15,2012
RATB,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2013
Total,13,1,0,0,0,0,0,0,0,0,0,0,0,14,2013
RATB,13,7,0,0,0,0,0,0,0,0,0,0,0,20,2014
Total,13,7,0,0,0,0,0,0,0,0,0,0,0,20,2014
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
