Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
SBA,2557,60,10,4,2,2,1,0,1,1,0,2,0,2640,2008
Total,2557,60,10,4,2,2,1,0,1,1,0,2,0,2640,2008
SBA,3778,93,12,5,0,1,0,0,1,1,1,2,1,3895,2009
Total,3778,93,12,5,0,1,0,0,1,1,1,2,1,3895,2009
SBA,3057,79,10,12,3,1,1,0,0,0,3,0,0,3166,2010
Total,3057,79,10,12,3,1,1,0,0,0,3,0,0,3166,2010
SBA,2992,102,14,6,2,0,1,0,0,0,4,0,1,3122,2011
Total,2992,102,14,6,2,0,1,0,0,0,4,0,1,3122,2011
SBA,3756,68,9,6,2,2,2,0,1,1,1,0,0,3848,2012
Total,3756,68,9,6,2,2,2,0,1,1,1,0,0,3848,2012
SBA,4806,103,20,13,4,0,0,0,0,0,0,0,0,4946,2013
Total,4806,103,20,13,4,0,0,0,0,0,0,0,0,4946,2013
SBA,1112,189,6,5,0,0,0,0,0,0,0,0,0,1312,2014
Total,1112,189,6,5,0,0,0,0,0,0,0,0,0,1312,2014
SBA,720,115,29,17,0,1,1,0,0,0,0,0,0,883,2015
Total,720,115,29,17,0,1,1,0,0,0,0,0,0,883,2015
