Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
SSS,52,3,0,0,0,0,0,0,0,0,0,0,0,55,2008
Total,52,3,0,0,0,0,0,0,0,0,0,0,0,55,2008
SSS,28,1,0,0,0,0,0,0,0,0,0,0,0,29,2009
Total,28,1,0,0,0,0,0,0,0,0,0,0,0,29,2009
SSS,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2010
Total,37,0,0,0,0,0,0,0,0,0,0,0,0,37,2010
SSS,17,1,0,0,0,0,0,0,0,0,0,0,0,18,2011
Total,17,1,0,0,0,0,0,0,0,0,0,0,0,18,2011
SSS,20,0,0,0,0,0,0,0,0,0,0,0,0,20,2012
Total,20,0,0,0,0,0,0,0,0,0,0,0,0,20,2012
SSS,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2013
Total,18,0,0,0,0,0,0,0,0,0,0,0,0,18,2013
SSS,49,0,0,0,0,0,0,0,0,0,0,0,0,49,2014
Total,49,0,0,0,0,0,0,0,0,0,0,0,0,49,2014
SSS,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2015
