Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
STB,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2008
Total,19,0,0,0,0,0,0,0,0,0,0,0,0,19,2008
STB,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2009
Total,13,0,0,0,0,0,0,0,0,0,0,0,0,13,2009
STB,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2010
Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2010
STB,37,2,0,0,0,0,0,0,0,0,0,0,0,39,2011
Total,37,2,0,0,0,0,0,0,0,0,0,0,0,39,2011
STB,29,0,0,0,0,0,0,0,0,0,0,0,0,29,2012
Total,29,0,0,0,0,0,0,0,0,0,0,0,0,29,2012
STB,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2013
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2013
STB,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2014
Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,2014
STB,55,5,1,0,0,0,0,0,0,0,0,0,0,61,2015
Total,55,5,1,0,0,0,0,0,0,0,0,0,0,61,2015
