Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
BEP,71,0,0,0,0,0,0,0,0,0,0,0,0,71
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FinCEN,121,8,1,0,0,0,0,0,0,0,0,0,0,130
FMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC,2824,0,0,0,0,0,0,0,0,0,0,0,0,2824
OTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGTA,163,38,7,1,0,0,0,0,0,0,0,0,0,209
TTB,55,10,0,0,0,0,0,0,0,0,0,0,0,65
Total,3234,56,8,1,0,0,0,0,0,0,0,0,0,3299
