Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
U.S. CPSC,2441,686,231,29,23,5,3,5,5,4,5,2,0,3439,2008
Total,2441,686,231,29,23,5,3,5,5,4,5,2,0,3439,2008
U.S. CPSC,2577,89,50,29,23,5,3,5,5,4,5,2,0,2797,2009
Total,2577,89,50,29,23,5,3,5,5,4,5,2,0,2797,2009
U.S. CPSC,2287,27,65,36,19,8,7,1,2,2,8,1,2,2465,2010
Total,2287,27,65,36,19,8,7,1,2,2,8,1,2,2465,2010
U.S. CPSC,1701,24,16,21,11,8,3,0,0,2,4,6,5,1801,2011
Total,1701,24,16,21,11,8,3,0,0,2,4,6,5,1801,2011
U.S. CPSC,1703,32,10,22,7,7,4,5,4,0,2,1,1,1798,2012
Total,1703,32,10,22,7,7,4,5,4,0,2,1,1,1798,2012
U.S. CPSC,1275,44,9,5,1,2,1,0,2,4,0,0,0,1343,2013
Total,1275,44,9,5,1,2,1,0,2,4,0,0,0,1343,2013
U.S. CPSC,608,20,21,12,8,5,1,2,0,0,3,1,1,682,2014
Total,608,20,21,12,8,5,1,2,0,0,3,1,1,682,2014
U.S. CPSC,70,10,9,6,5,2,0,2,2,1,1,3,1,112,2015
Total,70,10,9,6,5,2,0,2,2,1,1,3,1,112,2015
