Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
USNRC,247,63,13,7,1,0,1,0,0,0,0,0,0,332,2008
Total,247,63,13,7,1,0,1,0,0,0,0,0,0,332,2008
USNRC,219,36,5,3,1,0,1,0,0,0,0,0,0,265,2009
Total,219,36,5,3,1,0,1,0,0,0,0,0,0,265,2009
USNRC,245,21,5,2,0,0,0,0,0,0,0,0,0,273,2010
Total,245,21,5,2,0,0,0,0,0,0,0,0,0,273,2010
USNRC,220,12,4,1,0,0,0,0,0,0,0,0,0,237,2011
Total,220,12,4,1,0,0,0,0,0,0,0,0,0,237,2011
USNRC,103,10,1,0,0,0,1,0,0,0,0,0,0,115,2012
Total,103,10,1,0,0,0,1,0,0,0,0,0,0,115,2012
USNRC,80,9,3,0,2,0,0,0,0,0,0,0,0,94,2013
Total,80,9,3,0,2,0,0,0,0,0,0,0,0,94,2013
USNRC,132,29,6,1,0,0,0,0,0,0,0,0,0,168,2014
Total,132,29,6,1,0,0,0,0,0,0,0,0,0,168,2014
USNRC,296,38,5,0,0,0,0,0,0,0,0,0,0,339,2015
Total,296,38,5,0,0,0,0,0,0,0,0,0,0,339,2015
