Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
PS,735,201,47,19,8,3,2,1,4,1,1,0,40,1062,2010
OIG,215,2,0,1,0,0,0,0,0,0,0,0,0,218,2010
PIS,337,15,4,0,0,0,0,0,0,0,0,0,0,356,2010
Total,1287,218,51,20,8,3,2,1,4,1,1,0,40,1636,2010
PS,1125,184,36,28,14,9,3,4,0,2,1,0,0,1406,2011
OIG,445,1,0,0,0,0,0,0,0,0,0,0,0,446,2011
PIS,366,27,2,1,0,0,0,0,0,0,0,0,1,397,2011
Total,1936,212,38,29,14,9,3,4,0,2,1,0,1,2249,2011
PS,1047,211,46,19,17,9,8,5,6,2,24,2,0,1396,2012
OIG,544,7,0,0,0,0,0,0,0,0,0,0,0,551,2012
PIS,358,8,3,0,1,1,0,0,0,0,0,0,0,371,2012
Total,1949,226,49,19,18,10,8,5,6,2,24,2,0,2318,2012
PS,900,178,48,28,12,13,5,5,0,1,6,4,1,1201,2013
OIG,565,7,2,0,0,0,0,0,0,0,0,0,0,574,2013
PIS,324,14,1,0,0,1,0,0,0,0,0,0,0,340,2013
Total,1789,199,51,28,12,14,5,5,0,1,6,4,1,2115,2013
PS,1005,189,50,17,17,10,9,5,3,4,8,1,2,1320,2014
OIG,483,5,0,0,0,0,1,0,0,0,0,0,0,489,2014
PIS,298,40,9,8,2,2,1,0,0,1,2,0,0,363,2014
Total,1786,234,59,25,19,12,11,5,3,5,10,1,2,2172,2014
PS,1201,213,36,14,16,11,8,4,4,5,40,5,2,1559,2015
OIG,469,3,0,0,0,0,0,0,0,0,0,0,0,472,2015
PIS,244,38,43,21,5,1,1,0,0,0,0,0,0,353,2015
Total,1914,254,79,35,21,12,9,4,4,5,40,5,2,2384,2015
