Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Year
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
USTR,0,5,5,0,1,0,0,0,0,0,0,0,0,11,2010
Total,0,5,5,0,1,0,0,0,0,0,0,0,0,11,2010
USTR,12,6,1,0,0,0,0,0,0,0,0,0,0,19,2011
Total,12,6,1,0,0,0,0,0,0,0,0,0,0,19,2011
USTR,21,12,1,1,1,0,0,0,0,0,0,0,0,36,2012
Total,21,12,1,1,1,0,0,0,0,0,0,0,0,36,2012
USTR,36,11,1,0,0,0,1,0,0,0,0,0,0,49,2013
Total,36,11,1,0,0,0,1,0,0,0,0,0,0,49,2013
USTR,4,0,1,0,0,0,2,1,0,0,8,0,0,16,2014
Total,4,0,1,0,0,0,2,1,0,0,8,0,0,16,2014
USTR,1,3,4,3,3,2,0,0,0,0,1,5,3,25,2015
Total,1,3,4,3,3,2,0,0,0,0,1,5,3,25,2015
