Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total
Admin,1,0,1,0,0,0,0,0,0,0,0,0,0,2
BVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C&LA,0,2,1,0,0,0,0,0,0,0,0,0,0,3
CFM,6,7,1,6,1,8,3,4,3,1,3,0,0,43
GC,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IG,173,7,1,0,0,0,0,0,0,0,0,0,0,181
Mgmt,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAL,5,1,0,1,0,0,0,0,0,0,0,0,0,7
OASHRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OASP&IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODASIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OF,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OIT,11,0,0,0,0,0,0,0,0,0,0,0,0,11
ORM,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OSDBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P&P,0,1,0,0,0,0,1,0,0,0,0,0,0,2
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC,0,0,0,1,0,0,0,0,0,0,0,0,0,1
VBA,12,15,12,5,0,1,0,0,0,0,0,0,0,45
VHA,9862,1067,234,99,39,30,28,5,5,6,10,1,2,11388
Total,10072,1100,251,113,40,39,32,9,8,7,13,1,2,11687
