Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
50 U.S.C. § 2411(c) § 12 c,Information concerning exporting license applications,"Export Information Twin Coast Newspapers, Inc. v Dept. of Commerce, No. 78-0978 (D.D.C. Nov. 6, 1979)",5,OS,24
50 U.S.C. § 2411(c) § 12 c,Information concerning exporting license applications,"Export Information Twin Coast Newspapers, Inc. v Dept. of Commerce, No. 78-0978 (D.D.C. Nov. 6, 1979)",18,BIS,24
50 U.S.C. § 2411(c) § 12 c,Information concerning exporting license applications,"Export Information Twin Coast Newspapers, Inc. v Dept. of Commerce, No. 78-0978 (D.D.C. Nov. 6, 1979)",1,OIG,24
35 U.S.C. § 122,Information concerning patent applications,"Irons & Sears v Dann, 606 F.2d 1215, 1220 (D.C. Cir.1979)",1,OS,26
35 U.S.C. § 122,Information concerning patent applications,"Irons & Sears v Dann, 606 F.2d 1215, 1220 (D.C. Cir.1979)",25,PTO,26
13 U.S.C. § 9,Information collected by the Bureau of the Census,"Baldrige v Shapiro, 455 U.S, 355 (1982)",1,OS,61
13 U.S.C. § 9,Information collected by the Bureau of the Census,"Baldrige v Shapiro, 455 U.S, 355 (1982)",60,Census,61
"5 U.S.C. appendix 105, Ethics in Govt. Act of 1978",Financial Disclosure Information,Meyerhoff v EPA 958 Fed 2 1497 9th Circuit (1992),1,OS,1
13 U.S.C. § 301(g),Shippers' Export Declarations,"Young Conservative Found v Dept. of Commerce, No. 85-3982 (D.D.C. March 25, 1987)",4,Census,4
41 U.S.C. § 253 &423,Proposal not set forth or incorporated by reference in a contract,"Hornbostel v Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",1,Census,5
41 U.S.C. § 253 &423,Proposal not set forth or incorporated by reference in a contract,"Hornbostel v Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",4,NOAA,5
26 U.S.C. 6103,Employer Identification Number,"Anderson v. DOJ, 95-1880, 1999, U.S. Dist. Lexis 5048 (D.D.C. April 12, 1999)",1,EDA,1
16 U.S.C. § 1881(a),Magnuson-Stevens Fishery Conservation and Management Act ? pertains to statistical information contained in fishery management plans which has been submitted by fisheries under section 1853(a)(5),No Case,5,NOAA,5
